
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-03-10 22:21:19 / .......................................... ~ 500.61ms
  2026-03-10 22:21:19 /install ..................................... ~ 0.07ms
  2026-03-10 22:21:36 /install ................................... ~ 500.54ms
  2026-03-10 22:22:27 /install ................................... ~ 500.64ms
  2026-03-10 22:22:49 /install ..................................... ~ 0.29ms
  2026-03-10 22:22:58 /install ..................................... ~ 0.22ms
  2026-03-10 22:23:20 /install ..................................... ~ 0.23ms
  2026-03-10 22:23:47 / ............................................ ~ 0.20ms
  2026-03-10 22:23:47 /install ..................................... ~ 0.05ms
  2026-03-10 22:23:49 /explore/map ................................. ~ 0.18ms
  2026-03-10 22:23:49 /install ................................... ~ 500.53ms
  2026-03-10 22:23:52 /explore/events .............................. ~ 0.29ms
  2026-03-10 22:23:52 /install ..................................... ~ 0.06ms
  2026-03-10 22:23:55 /explore/equipment ........................... ~ 0.34ms
  2026-03-10 22:23:55 /install ..................................... ~ 0.06ms
  2026-03-10 22:23:57 /explore/actors .............................. ~ 0.26ms
  2026-03-10 22:23:57 /install ................................... ~ 500.53ms
  2026-03-10 22:24:00 /explore/conflicts ........................... ~ 0.21ms
  2026-03-10 22:24:00 /install ..................................... ~ 0.05ms
  2026-03-10 22:24:03 /submit-tip .................................. ~ 0.21ms
  2026-03-10 22:24:03 /install ..................................... ~ 0.06ms
  2026-03-10 22:24:05 /login ....................................... ~ 0.17ms
  2026-03-10 22:24:05 /install ..................................... ~ 0.07ms
  2026-03-10 22:24:08 /register .................................... ~ 0.19ms
  2026-03-10 22:24:08 /install ..................................... ~ 0.06ms
  2026-03-10 22:24:11 /about ....................................... ~ 0.21ms
  2026-03-10 22:24:11 /install ..................................... ~ 0.05ms
  2026-03-10 22:24:13 /contact ..................................... ~ 0.20ms
  2026-03-10 22:24:13 /install ..................................... ~ 0.06ms
  2026-03-10 22:24:16 /login ..................................... ~ 500.66ms
  2026-03-10 22:24:16 /install ..................................... ~ 0.06ms
  2026-03-10 22:25:19 / ............................................ ~ 0.34ms
  2026-03-10 22:25:19 /install ................................... ~ 500.56ms
  2026-03-10 22:25:22 /explore/map ................................. ~ 0.19ms
  2026-03-10 22:25:22 /install ..................................... ~ 0.10ms
  2026-03-10 22:25:24 /explore/events .............................. ~ 0.22ms
  2026-03-10 22:25:24 /install ..................................... ~ 0.05ms
  2026-03-10 22:25:27 /explore/equipment ......................... ~ 500.56ms
  2026-03-10 22:25:27 /install ..................................... ~ 0.05ms
  2026-03-10 22:25:30 /explore/actors .............................. ~ 0.19ms
  2026-03-10 22:25:30 /install ..................................... ~ 0.06ms
  2026-03-10 22:25:32 /explore/conflicts ........................... ~ 0.19ms
  2026-03-10 22:25:32 /install ..................................... ~ 0.05ms
  2026-03-10 22:25:35 /submit-tip ................................ ~ 500.54ms
  2026-03-10 22:25:35 /install ..................................... ~ 0.05ms
  2026-03-10 22:25:38 /login ....................................... ~ 0.18ms
  2026-03-10 22:25:38 /install ..................................... ~ 0.05ms
  2026-03-10 22:25:40 /register .................................... ~ 0.21ms
  2026-03-10 22:25:40 /install ..................................... ~ 0.06ms
  2026-03-10 22:25:43 /about ..................................... ~ 500.57ms
  2026-03-10 22:25:43 /install ..................................... ~ 0.06ms
  2026-03-10 22:25:46 /contact ..................................... ~ 0.28ms
